image_id,question_id,question,question_type,gold,fullload_prediction,fullload_correct,prediction_20,correct_20,prediction_25,correct_25,prediction_30,correct_30,prediction_35,correct_35,prediction_40,correct_40,prediction_45,correct_45,prediction_50,correct_50,first_correct_budget,stable_correct_from_budget,prediction_stabilization_budget,wrong25_recovered_at_30_or_35,wrong25_never_recovers_through50,fullload_correct_but_50_wrong,fullload_correct_25wrong,fullload_correct_25wrong_recovered_at_30_or_35,fullload_correct_25wrong_never_recovers_through50
n9181,20929553,What is in front of the vest?,spatial,"[""wheelchair""]",Motorcycle,0,Motorcycle,0,Motorcycle,0,Motorcycle,0,Motorcycle,0,Motorcycle,0,Motorcycle,0,Motorcycle,0,,,0.2,False,True,False,False,False,False
n9181,20929280,Is the motorbike made of the same material as the sign?,yes/no,"[""yes""]",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,,,0.2,False,True,False,False,False,False
n390187,201861403,What's the person riding?,object,"[""motorcycle""]",Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,0.2,0.2,0.2,False,False,False,False,False,False
n390187,201861402,The person is riding what?,other,"[""motorcycle""]",Motorcycle,1,Honda,0,Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,Motorcycle,1,0.25,0.25,0.25,False,False,False,False,False,False
n390187,201861409,Is the person wearing a glove?,yes/no,"[""yes""]",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,,,0.2,False,True,False,False,False,False
n390187,201861267,Does the mirror to the left of the person look brown and small?,yes/no,"[""no""]",No,1,No,1,Yes,0,Yes,0,Yes,0,No,1,No,1,No,1,0.2,0.4,0.4,False,False,False,True,False,False
n390187,201861586,What is the color of the dirty sneakers?,color,"[""gray""]",Gray,1,Gray,1,Gray,1,Gray,1,Gray,1,Gray,1,Gray,1,Gray,1,0.2,0.2,0.2,False,False,False,False,False,False
n390187,201861325,Is the small mirror on the motorcycle?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n133585,202108008,What is the color of the hat?,color,"[""blue""]",Blue,1,Blue,1,Blue,1,Blue,1,Blue,1,Blue,1,Blue,1,Blue,1,0.2,0.2,0.2,False,False,False,False,False,False
n133585,202107840,Are there any boys to the right of the fat person?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n133585,202107827,Who wears a shirt?,object,"[""boy""]",Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,0.2,0.2,0.2,False,False,False,False,False,False
n133585,202107931,Is the person to the left of the boy wearing jeans?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n133585,202107938,Is the fat person to the right or to the left of the boy that is wearing pants?,yes/no,"[""left""]",Right,0,Right,0,Right,0,Right,0,Right,0,Right,0,Right,0,Right,0,,,0.2,False,True,False,False,False,False
n133585,202107808,Who is standing?,object,"[""boy""]",Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,Boy,1,0.2,0.2,0.2,False,False,False,False,False,False
n272098,201535625,How is that food called?,other,"[""donuts""]",Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,,,0.2,False,True,False,False,False,False
n272098,201535624,What kind of baked good is it?,object,"[""donuts""]",Donut,0,Krispy kreme,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,,,0.25,False,True,False,False,False,False
n272098,201535627,How is the glazed food called?,other,"[""donuts""]",Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,,,0.2,False,True,False,False,False,False
n272098,201535605,Is the box different in color than the hat?,yes/no,"[""no""]",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,,,0.2,False,True,False,False,False,False
n272098,201535661,"How do the food to the left of the rope look, white or dark brown?",spatial,"[""dark brown""]",Dark brown,1,Dark brown,1,Dark brown,1,Dark brown,1,Dark brown,1,Dark brown,1,Dark brown,1,Dark brown,1,0.2,0.2,0.2,False,False,False,False,False,False
n272098,201535640,What food is frosted?,object,"[""donuts""]",Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,Donut,0,,,0.2,False,True,False,False,False,False
n472825,202101069,What is the gender of the skateboarder to the right of the lamp?,spatial,"[""female""]",Male,0,Male,0,Male,0,Male,0,Male,0,Male,0,Male,0,Male,0,,,0.2,False,True,False,False,False,False
n472825,202101167,Who is riding on a skateboard?,object,"[""skateboarder""]",Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,,,0.2,False,True,False,False,False,False
n472825,202101162,Who is wearing the jeans?,object,"[""skateboarder""]",Boy,0,Skateboarder,1,Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,0.2,,0.25,False,True,False,False,False,False
n472825,202101163,What is the skateboarder that is not female wearing?,object,"[""jeans""]",Jeans,1,Pants,0,Pants,0,Pants,0,Pants,0,Pants,0,Pants,0,Pants,0,,,0.2,False,True,True,True,False,True
n472825,202101161,Who is wearing jeans?,object,"[""skateboarder""]",Boy,0,Skateboarder,1,Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,Boy,0,0.2,,0.25,False,True,False,False,False,False
n472825,202101149,Do you see a skateboarder that is not female?,yes/no,"[""yes""]",No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,0.2,,0.25,False,True,False,False,False,False
n450919,2093976,How clean is the mud near the grass?,spatial,"[""dirty""]",Dirty,1,Dirty,1,Dirty,1,Dirty,1,Dirty,1,Dirty,1,Dirty,1,Dirty,1,0.2,0.2,0.2,False,False,False,False,False,False
n450919,2093757,The hat is what size?,material/attribute,"[""small""]",Large,0,Small,1,Large,0,Large,0,Large,0,Large,0,Small,1,Small,1,0.2,0.45,0.45,False,False,False,False,False,False
n450919,2093752,Is the hat blue and small?,yes/no,"[""no""]",No,1,Yes,0,No,1,No,1,No,1,No,1,No,1,No,1,0.25,0.25,0.25,False,False,False,False,False,False
n450919,2093912,What animal is in the mud?,object,"[""giraffe""]",Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,0.2,0.2,0.2,False,False,False,False,False,False
n450919,2093911,What animal is in the brown mud?,object,"[""giraffe""]",Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,Giraffe,1,0.2,0.2,0.2,False,False,False,False,False,False
n450919,2093918,Is there an elephant in the mud?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n37274,202144724,What is sitting atop the crate?,object,"[""blender""]",Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,0.2,0.2,0.2,False,False,False,False,False,False
n37274,202144703,What appliance is right of the liquor?,spatial,"[""blender""]",Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,0.2,0.2,0.2,False,False,False,False,False,False
n37274,202144680,Which side is the blender on?,spatial,"[""right""]",Right,1,Right,1,Right,1,Right,1,Right,1,Right,1,Right,1,Right,1,0.2,0.2,0.2,False,False,False,False,False,False
n37274,202144681,What is the appliance to the right of the man that is in front of the bicycle?,spatial,"[""blender""]",Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,Blender,1,0.2,0.2,0.2,False,False,False,False,False,False
n37274,202144469,Is the man that is to the left of the liquor wearing gloves?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n37274,202144325,What do the watch and the bicycle have in common?,object,"[""material""]",Color,0,Color,0,Color,0,Color,0,Color,0,Color,0,Color,0,Color,0,,,0.2,False,True,False,False,False,False
n293477,20856909,Which kind of bag is green?,object,"[""purse""]",Purse,1,Purse,1,Purse,1,Purse,1,Purse,1,Purse,1,Purse,1,Purse,1,0.2,0.2,0.2,False,False,False,False,False,False
n293477,20856756,What is the item of furniture called?,object,"[""bed""]",Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,0.2,0.2,0.2,False,False,False,False,False,False
n293477,20856758,Which kind of furniture is it?,object,"[""bed""]",Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,Bed,1,0.2,0.2,0.2,False,False,False,False,False,False
n293477,20856731,Is the wallet lying on top of a desk?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n293477,20857065,What is the color of the pens that are lying on top of the bed?,color,"[""white""]",Blue,0,Black,0,Black,0,Black,0,Blue,0,Blue,0,Blue,0,Blue,0,,,0.35,False,True,False,False,False,False
n293477,20857040,Are there either wood spoons or knives?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n44249,20935919,Are the green trees lush or leafless?,yes/no,"[""lush""]",Lush,1,Lush,1,Lush,1,Lush,1,Lush,1,Lush,1,Lush,1,Lush,1,0.2,0.2,0.2,False,False,False,False,False,False
n44249,20935938,"What kind of animal are the trees behind of, a sheep or an elephant?",spatial,"[""elephant""]",Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,0.2,0.2,0.2,False,False,False,False,False,False
n44249,20935990,Does the animal beside the fence have small size?,yes/no,"[""no""]",No,1,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,No,1,No,1,0.45,0.45,0.45,False,False,False,True,False,False
n44249,20936256,Is the woman to the right or to the left of the heavy person?,yes/no,"[""left""]",Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,0.2,0.2,0.2,False,False,False,False,False,False
n44249,20936230,Which kind of animal is the woman on?,object,"[""elephant""]",Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,Elephant,1,0.2,0.2,0.2,False,False,False,False,False,False
n44249,20936214,Does the woman to the left of the man appear to be sitting?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n331357,201404246,The small animal is drinking from who?,material/attribute,"[""mother""]",Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,,,0.2,False,True,False,False,False,False
n331357,201404241,What animal is drinking from the mother?,object,"[""calf""]",Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,0.2,0.2,0.2,False,False,False,False,False,False
n331357,201404242,What is the animal that is drinking from the mom that is not small?,material/attribute,"[""calf""]",Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,Calf,1,0.2,0.2,0.2,False,False,False,False,False,False
n331357,201404284,Who is standing?,object,"[""mother""]",Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,Cow,0,,,0.2,False,True,False,False,False,False
n331357,201403947,How's the weather?,other,"[""cloudless""]",Sunny,0,Sunny,0,Sunny,0,Sunny,0,Sunny,0,Sunny,0,Sunny,0,Sunny,0,,,0.2,False,True,False,False,False,False
n331357,201404178,Is the small calf in the bottom part of the image?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n51002,201804661,What device is below the artwork?,spatial,"[""television""]",Television,1,Television,1,Television,1,Television,1,Television,1,Television,1,Television,1,Television,1,0.2,0.2,0.2,False,False,False,False,False,False
n51002,201804477,Does that fireplace appear to be on?,yes/no,"[""yes""]",No,0,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,0.2,,0.35,False,False,False,False,False,False
n51002,201804642,Which kind of material is the black thing below the artwork made of?,spatial,"[""plastic""]",Wood,0,Wood,0,Metal,0,Wood,0,Wood,0,Wood,0,Wood,0,Wood,0,,,0.3,False,True,False,False,False,False
n51002,201803838,Which kind of furniture is the pillow on?,object,"[""couch""]",Couch,1,Couch,1,Couch,1,Couch,1,Couch,1,Couch,1,Couch,1,Couch,1,0.2,0.2,0.2,False,False,False,False,False,False
n51002,201803833,What do you think is on the couch?,object,"[""pillow""]",Pillow,1,Pillow,1,Pillow,1,Pillow,1,Pillow,1,Pillow,1,Pillow,1,Pillow,1,0.2,0.2,0.2,False,False,False,False,False,False
n51002,201803709,What is common to the pillow and the fireplace?,object,"[""shape""]",Color,0,Color,0,Color,0,Color,0,Color,0,Color,0,Color,0,Color,0,,,0.2,False,True,False,False,False,False
n244826,20942853,Does the soccer ball look round and red?,yes/no,"[""no""]",No,1,Yes,0,Yes,0,Yes,0,No,1,No,1,No,1,No,1,0.35,0.35,0.35,True,False,False,True,True,False
n244826,20942865,Who is the soccer ball in front of?,spatial,"[""soccer player""]",Girl,0,Ball,0,Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,,,0.25,False,True,False,False,False,False
n244826,20942768,Which place is it?,object,"[""field""]",Field,1,Field,1,Field,1,Field,1,Field,1,Field,1,Field,1,Field,1,0.2,0.2,0.2,False,False,False,False,False,False
n244826,20942926,Are the shorts small and white?,yes/no,"[""no""]",No,1,Yes,0,Yes,0,No,1,No,1,No,1,No,1,No,1,0.3,0.3,0.3,True,False,False,True,True,False
n244826,20942902,Who is wearing the shoe?,object,"[""soccer player""]",Girl,0,Woman,0,Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,,,0.25,False,True,False,False,False,False
n244826,20942887,Who is wearing the headband?,object,"[""soccer player""]",Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,Girl,0,,,0.2,False,True,False,False,False,False
n470131,201988103,What shape is the foil?,material/attribute,"[""round""]",Round,1,Round,1,Round,1,Round,1,Round,1,Round,1,Round,1,Square,0,0.2,,0.5,False,False,True,False,False,False
n470131,201987684,Is the table that looks yellow dirty or clean?,yes/no,"[""dirty""]",Dirty,1,Clean,0,Dirty,1,Dirty,1,Dirty,1,Dirty,1,Dirty,1,Dirty,1,0.25,0.25,0.25,False,False,False,False,False,False
n470131,201987969,What rests on the table?,object,"[""paper""]",Paper,1,Sandwich,0,Paper,1,Paper,1,Tray,0,Paper,1,Paper,1,Paper,1,0.25,0.4,0.4,False,False,False,False,False,False
n470131,201987968,What rests on the yellow table?,object,"[""paper""]",Paper,1,Paper,1,Paper,1,Paper,1,Paper,1,Paper,1,Paper,1,Paper,1,0.2,0.2,0.2,False,False,False,False,False,False
n470131,201987760,Are there cookies that are not baked?,yes/no,"[""no""]",Yes,0,No,1,No,1,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,0.2,,0.3,False,False,False,False,False,False
n470131,201987763,What is in front of the orange thing that is on the wall?,spatial,"[""cookie""]",Paper,0,Paper,0,Paper,0,Paper,0,Paper,0,Paper,0,Paper,0,Paper,0,,,0.2,False,True,False,False,False,False
n195249,20482274,Which company is the hat from?,object,"[""nike""]",Nike,1,Nike,1,Nike,1,Nike,1,Nike,1,Nike,1,Nike,1,Nike,1,0.2,0.2,0.2,False,False,False,False,False,False
n195249,20482492,Does this woman wear a wetsuit?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n195249,20482257,Does the blue hat have large size?,yes/no,"[""no""]",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,,,0.2,False,True,False,False,False,False
n195249,20482531,Does the cotton shirt look dark blue and short?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n195249,20482537,What color is the shirt made of cotton?,color,"[""dark blue""]",Blue,0,Blue,0,Blue,0,Blue,0,Blue,0,Blue,0,Blue,0,Blue,0,,,0.2,False,True,False,False,False,False
n195249,20482514,Is the person that is staring holding the tennis racket?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n281241,20427658,In front of what is the gentleman?,spatial,"[""picture""]",Picture,1,Chair,0,Chair,0,Chair,0,Chair,0,Chair,0,Picture,1,Picture,1,0.45,0.45,0.45,False,False,False,True,False,False
n281241,20427655,Who is in front of the square picture?,spatial,"[""gentleman""]",Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,,,0.2,False,True,False,False,False,False
n281241,20427656,Who is in front of the picture?,spatial,"[""gentleman""]",Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,,,0.2,False,True,False,False,False,False
n281241,20427461,Is the jacket the same color as the dress shirt?,yes/no,"[""yes""]",Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.25,0.25,0.25,False,False,False,False,False,False
n281241,20427673,Who is wearing a shirt?,object,"[""gentleman""]",Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,,,0.2,False,True,False,False,False,False
n281241,20427674,Who is wearing the shirt?,object,"[""gentleman""]",Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,Man,0,,,0.2,False,True,False,False,False,False
n90294,20385685,Is the laptop near the charger modern and black?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n90294,20385575,Is the remote to the right or to the left of the book?,yes/no,"[""right""]",Left,0,Left,0,Left,0,Left,0,Left,0,Left,0,Left,0,Left,0,,,0.2,False,True,False,False,False,False
n90294,20385576,Is there any remote control next to the book?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n90294,20385794,Is the white bag made of cloth or leather?,yes/no,"[""cloth""]",Cloth,1,Cloth,1,Cloth,1,Cloth,1,Cloth,1,Cloth,1,Cloth,1,Cloth,1,0.2,0.2,0.2,False,False,False,False,False,False
n90294,20385226,Does the book have the same color as the charger?,yes/no,"[""yes""]",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,,,0.2,False,True,False,False,False,False
n90294,20385928,Are both the charger and the calculator made of plastic?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n16425,20342389,Which color is the bus to the right of the other bus?,color,"[""blue""]",White,0,Blue,1,Blue,1,Blue,1,Blue,1,Blue,1,White,0,White,0,0.2,,0.45,False,False,False,False,False,False
n16425,20342508,"What vehicle is the telephone pole behind of, a train or a bus?",spatial,"[""bus""]",Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,0.2,0.2,0.2,False,False,False,False,False,False
n16425,20342449,Which kind of vehicle is gold?,object,"[""bus""]",Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,0.2,0.2,0.2,False,False,False,False,False,False
n16425,20342331,On which side is the person?,spatial,"[""left""]",Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,0.2,0.2,0.2,False,False,False,False,False,False
n16425,20342481,What vehicle is in front of the telephone pole?,spatial,"[""bus""]",Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,Bus,1,0.2,0.2,0.2,False,False,False,False,False,False
n16425,20342394,Is the bus to the right of the other bus red and large?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n527589,201235880,Who is wearing the earring?,object,"[""woman""]",Woman,1,Woman,1,Woman,1,Woman,1,Woman,1,Woman,1,Woman,1,Woman,1,0.2,0.2,0.2,False,False,False,False,False,False
n527589,201235578,Does the basket look narrow?,yes/no,"[""no""]",No,1,Yes,0,No,1,No,1,No,1,No,1,No,1,No,1,0.25,0.25,0.25,False,False,False,False,False,False
n527589,201235768,What is the bag to the left of the shelves called?,spatial,"[""handbag""]",Purse,0,Purse,0,Purse,0,Purse,0,Purse,0,Purse,0,Purse,0,Purse,0,,,0.2,False,True,False,False,False,False
n527589,201235672,What are the fruits on top of the basket?,spatial,"[""bananas""]",Bananas,1,Bananas,1,Bananas,1,Bananas,1,Bananas,1,Bananas,1,Bananas,1,Bananas,1,0.2,0.2,0.2,False,False,False,False,False,False
n527589,201235514,On which side of the image are the shelves?,spatial,"[""right""]",Right,1,Right,1,Right,1,Right,1,Right,1,Right,1,Right,1,Right,1,0.2,0.2,0.2,False,False,False,False,False,False
n527589,201235536,How are the pieces of furniture on top of the floor called?,spatial,"[""shelves""]",Shelves,1,Shelves,1,Shelves,1,Shelves,1,Shelves,1,Shelves,1,Shelves,1,Shelves,1,0.2,0.2,0.2,False,False,False,False,False,False
n262929,201752972,Which color is the bandana?,color,"[""dark blue""]",Black,0,Yes,0,No,0,Black,0,Black,0,Black,0,Black,0,Black,0,,,0.3,False,True,False,False,False,False
n262929,201752809,Do the shoes look dark?,yes/no,"[""yes""]",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.2,0.2,0.2,False,False,False,False,False,False
n262929,201752899,Is the bag small and dark?,yes/no,"[""no""]",No,1,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,,,0.2,False,True,True,True,False,True
n262929,201752784,How big is the hat above the tie?,spatial,"[""small""]",Small,1,Police,0,Police,0,Small,1,Small,1,Small,1,Small,1,Small,1,0.3,0.3,0.3,True,False,False,True,True,False
n262929,201752760,Do you see a scooter in front of the bag the boy is to the left of?,yes/no,"[""no""]",No,1,Police car,0,Boy,0,Yes,0,Yes,0,No,1,No,1,No,1,0.4,0.4,0.4,False,False,False,True,False,False
n262929,201752607,Is the necktie dark?,yes/no,"[""yes""]",Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.25,0.25,0.25,False,False,False,False,False,False
n48494,202116756,Are both the train station and the tunnel made out of the same material?,yes/no,"[""yes""]",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,,,0.2,False,True,False,False,False,False
n48494,202116920,What is the tunnel above the railroad made of?,spatial,"[""concrete""]",Concrete,1,Concrete,1,Concrete,1,Concrete,1,Concrete,1,Concrete,1,Concrete,1,Concrete,1,0.2,0.2,0.2,False,False,False,False,False,False
n48494,202116770,Is the vast sky above the buildings both clear and blue?,yes/no,"[""no""]",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,,,0.2,False,True,False,False,False,False
n48494,202116964,Is the river low and wavy?,yes/no,"[""no""]",No,1,No,1,No,1,Yes,0,No,1,No,1,No,1,No,1,0.2,0.35,0.35,False,False,False,False,False,False
n48494,202117035,Do you see any wide boat?,yes/no,"[""yes""]",No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,,,0.2,False,True,False,False,False,False
n48494,202116896,What is the vehicle on top of the railroad called?,spatial,"[""train""]",Train,1,Train,1,Train,1,Train,1,Train,1,Train,1,Train,1,Train,1,0.2,0.2,0.2,False,False,False,False,False,False
n58220,20169718,Are there green hats in the photo?,yes/no,"[""yes""]",No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,0.2,,0.45,False,False,False,False,False,False
n58220,20169805,Does this flag look red?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n58220,20169578,Do the hat and the jacket have a different colors?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,Yes,0,No,1,No,1,0.2,0.45,0.45,False,False,False,False,False,False
n58220,20169575,What place was the picture taken at?,object,"[""road""]",Road,1,Ocean,0,Road,1,Road,1,Road,1,Road,1,Road,1,Road,1,0.25,0.25,0.25,False,False,False,False,False,False
n58220,20169793,On which side is the flag?,spatial,"[""left""]",Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,Left,1,0.2,0.2,0.2,False,False,False,False,False,False
n58220,20169796,Does the flag look calm and blue?,yes/no,"[""no""]",No,1,No,1,No,1,No,1,No,1,No,1,No,1,No,1,0.2,0.2,0.2,False,False,False,False,False,False
n522733,202248865,Which place is it?,object,"[""street""]",Street,1,Intersection,0,Street,1,Street,1,Street,1,Street,1,Street,1,Street,1,0.25,0.25,0.25,False,False,False,False,False,False
n522733,202248864,Where is it?,other,"[""street""]",Street,1,Intersection,0,Street,1,Street,1,Street,1,Street,1,Street,1,Street,1,0.25,0.25,0.25,False,False,False,False,False,False
